Anúncio,Preço,Stars
['Bela casa na praia com piscina'],"[' ', 'Preço:', 'R$549', '/noite']",['4.85']
['Casa linda com piscina perto do mar para 10 pessoa'],"[' ', 'Preço:', 'R$1.200', '/noite']",['5.0']
"['Cobertura Luxo, Alto Padrão. Sacada Vista do Mar.']","[' ', 'Preço:', 'R$190', '/noite']",[]
['Recanto dos Coqueiros - Casa 1'],"[' ', 'Preço:', 'R$198', '/noite']",[]
"['Apto Jurere, moderno, pratico e lindo, 50 m do mar']","[' ', 'Preço:', 'R$400', '/noite']",['5.0']
['MONTEFIORE JURERE FLORIANÓPOLIS'],"[' ', 'Preço:', 'R$322', '/noite']",[]
['2 dormitórios Jurere Porto madero'],"[' ', 'Preço:', 'R$268', '/noite']",[]
['Aconchegante gourmet apartamento'],"[' ', 'Preço:', 'R$351', '/noite']",['4.80']
['APT - Jurerê Internacional Diárias'],"[' ', 'Preço:', 'R$351', '/noite']",[]
"['Apartamento aconchegante em Jurerê, 450 m praia.']","[' ', 'Preço:', 'R$301', '/noite']",[]
['APTO EM JURERÊ INTERNACIONAL - 2 Suítes'],"[' ', 'Preço:', 'R$652', '/noite']",[]
['Um apartamento especial na praia de Jurerê'],"[' ', 'Preço:', 'R$388', '/noite']",[]
['Recanto dos Coqueiros - Casa 3'],"[' ', 'Preço:', 'R$198', '/noite']",[]
['Casa - 200 metros da praia - Frente para natureza'],"[' ', 'Preço:', 'R$219', '/noite']",['4.91']
"[""Verão 2019/2020 Jurerê até 6 hosp D'OuroResidence""]","[' ', 'Preço:', 'R$400', '/noite']",['4.85']
['Apartamento Jurere Internacional'],"[' ', 'Preço:', 'R$268', '/noite']",['5.0']
['Aconchego familiar'],"[' ', 'Preço:', 'R$252', '/noite']",['5.0']
"['Jurere Internacional,Charming apto!']","[' ', 'Preço:', 'R$301', '/noite']",['5.0']
"['No Coração de Jurerê - Lindo apartamento na praia de Jurerê em Florianópolis, ideal para famílias.']","[' ', 'Preço:', 'R$371', '/noite']",['5.0']
['Agradável Apartamento Jurerê Internacional'],"[' ', 'Preço:', 'R$301', '/noite']",['4.92']
['Apartamento bem localizado em Jurere com 2 quartos'],"[' ', 'Preço:', 'R$148', '/noite']",['4.38']
"['Luxo em Jurerê com piscina, 8 minutos da praia']","[' ', 'Preço:', 'R$507', '/noite']",[]
['Jurerê 2 quartos com suíte'],"[' ', 'Preço:', 'R$243', '/noite']",[]
['C. Duplex em Jurerê Internacional 250 MTS da praia'],"[' ', 'Preço:', 'R$379', '/noite']",[]
['LINDO apto na melhor Av. de Jurerê Internacional'],"[' ', 'Preço:', 'R$400', '/noite']",[]
['Ótimo apartamento perto de tudo que você precisa!'],"[' ', 'Preço:', 'R$301', '/noite']",['5.0']
['Praia da Daniela-5 minutos jurere internacional...'],"[' ', 'Preço:', 'R$297', '/noite']",['4.88']
['Açoriana by Villa Daniella - Aconchego a Beira-Mar'],"[' ', 'Preço:', 'R$297', '/noite']",['4.17']
['La Terraza by Villa Daniella - 2 Suites a beiramar'],"[' ', 'Preço:', 'R$297', '/noite']",['5.0']
['Apartamento familiar de 2 quartos em Jurerê'],"[' ', 'Preço:', 'R$346', '/noite']",['5.0']
['Apto mezanino com dois dormitórios em Jurerê'],"[' ', 'Preço:', 'R$231', '/noite']",['4.33']
['Apartamento 2 dormitórios Open Shopping'],"[' ', 'Preço:', 'R$268', '/noite']",[]
['COSTA BLANCA JURERE INTERNACIONAL'],"[' ', 'Preço:', 'R$301', '/noite']",[]
['JURERÊ - Ótimo apartamento para famílias'],"[' ', 'Preço:', 'R$400', '/noite']",['5.0']
['Cobertura duplex mediterrânea próxima ao Open Shopping em Jurerê Internacional'],"[' ', 'Preço:', 'R$450', '/noite']",['5.0']
"['APT 100m DA PRAIA, MELHOR LOCALIZAÇÃO DE JURERÊ']","[' ', 'Preço:', 'R$400', '/noite']",[]
['Apartamento Novo em Jurerê'],"[' ', 'Preço:', 'R$301', '/noite']",['5.0']
['Apartamento duplex junto à praia'],"[' ', 'Preço:', 'R$322', '/noite']",[]
['Artis by Villa Daniella - Casa de 2 quartos ao mar'],"[' ', 'Preço:', 'R$400', '/noite']",['4.63']
['Duplex para 06 pessoas'],"[' ', 'Preço:', 'R$351', '/noite']",[]
['JURERÊ CASA COM REDÁRIO'],"[' ', 'Preço:', 'R$499', '/noite']",['5.0']
['Casa de Jurerê Internacional'],"[' ', 'Preço:', 'R$998', '/noite']",['5.0']
['Casa em pequeno Condo na praia da Daniela.'],"[' ', 'Preço:', 'R$214', '/noite']",['4.67']
"['Casa Jurerê Internacional , piscina / spa 350m Mar']","[' ', 'Preço:', 'R$384', '/noite']",['4.94']
['Apartamento Jurerê. Alto padrão.'],"[' ', 'Preço:', 'R$400', '/noite']",['5.0']
['Apartamento de 3 quartos em Jurerê'],"[' ', 'Preço:', 'R$351', '/noite']",['5.0']
['Apartamento em Jurere a poucas quadras do mar'],"[' ', 'Preço:', 'R$351', '/noite']",['4.94']
['Casa rústica 02qtos c/ar(suite) 150m Praia Daniela'],"[' ', 'Preço:', 'R$120', '/noite']",['5.0']
['Pipeline 2 dormitórios Open Shopping'],"[' ', 'Preço:', 'R$268', '/noite']",[]
['Apto novo 06 pessoas com piscina e vista do mar.'],"[' ', 'Preço:', 'R$800', '/noite']",[]
['Sobrado 250m Praia Daniela c/ar cond(Suite+02qtos)'],"[' ', 'Preço:', 'R$351', '/noite']",['4.83']
['Apartamento charmoso com PISCINA  em JURERÊ'],"[' ', 'Preço:', 'R$351', '/noite']",[]
['Open View: Sua Cobertura Duplex em Jurerê Int!'],"[' ', 'Preço:', 'R$598', '/noite']",['4.33']
['Respira no Paraíso!'],"[' ', 'Preço:', 'R$379', '/noite']",[]
['Casa em Jurerê Internacional'],"[' ', 'Preço:', 'R$322', '/noite']",['4.88']
['2 dormitórios Porto Madero Jurere'],"[' ', 'Preço:', 'R$276', '/noite']",[]
['COBERTURA COM PISCINA/JURERÊ INTERNACIONAL'],"[' ', 'Preço:', 'R$499', '/noite']",['4.88']
['Luxo e conforto em Jurerê II'],"[' ', 'Preço:', 'R$450', '/noite']",['4.67']
['Apartamento com localização estratégica em Jurerê Internacional'],"[' ', 'Preço:', 'R$417', '/noite']",[]
['Apto à 600m da praia de Jurerê Internacional'],"[' ', 'Preço:', 'R$301', '/noite']",[]
['Vagou para o Natal!!!! confira a oferta!'],"[' ', 'Preço:', 'R$549', '/noite']",['4.53']
['excelente localização junto ao Open Shopping'],"[' ', 'Preço:', 'R$252', '/noite']",['4.78']
['La Roca Villa Daniella- Casa 2 suites a beiramar'],"[' ', 'Preço:', 'R$297', '/noite']",['4.60']
['Casinha bacana em terreno seguro em Jurerê.'],"[' ', 'Preço:', 'R$322', '/noite']",[]
['Cobertura de luxo em Jurere Internacional'],"[' ', 'Preço:', 'R$598', '/noite']",[]
['Ampla Cobertura com 3 suítes no coração de Jurerê!'],"[' ', 'Preço:', 'R$450', '/noite']",['5.0']
['Saint Tropez Jurere Internacional'],"[' ', 'Preço:', 'R$322', '/noite']",[]
['Casa Jurerê Florianópolis'],"[' ', 'Preço:', 'R$148', '/noite']",['5.0']
['Aluguel de temporada - apartamento nº. 03'],"[' ', 'Preço:', 'R$351', '/noite']",[]
['2 dormitórios Ana Emilia Jurere'],"[' ', 'Preço:', 'R$301', '/noite']",[]
['Jurere Internacional Apartamento'],"[' ', 'Preço:', 'R$499', '/noite']",[]
['Lindo Apartamento Central - 02 Dorm - Próx. Mar !'],"[' ', 'Preço:', 'R$400', '/noite']",['4.82']
['Praia da Daniela casa para temporada'],"[' ', 'Preço:', 'R$252', '/noite']",['4.83']
['Super bem localizado e equipado'],"[' ', 'Preço:', 'R$301', '/noite']",['4.80']
['3 dormitórios em Jurere'],"[' ', 'Preço:', 'R$330', '/noite']",[]
['Cobertura Ed. Brisas de Jurerê Internacional'],"[' ', 'Preço:', 'R$652', '/noite']",[]
['Jurerê Int. - 3 quartos – 8 pessoas - 3 banheiros'],"[' ', 'Preço:', 'R$392', '/noite']",['4.78']
['Lindo apto em Jurerê Internacional com piscina.'],"[' ', 'Preço:', 'R$450', '/noite']",['5.0']
['Conforto depois da praia (+hidro)! Ótima região!'],"[' ', 'Preço:', 'R$681', '/noite']",['5.0']
['Momentos maravilhosos em Jurerê internacional'],"[' ', 'Preço:', 'R$252', '/noite']",['4.85']
['Linda Edicola / Apto Familiar Central - 2Q - 6 pes'],"[' ', 'Preço:', 'R$297', '/noite']",['4.81']
['Casa de praia'],"[' ', 'Preço:', 'R$301', '/noite']",[]
['PRAIA JURERÊ-Praticidade em Apartamento 2 Quartos'],"[' ', 'Preço:', 'R$252', '/noite']",['4.98']
['Belo Apto com churrasqueira à 100m da praia'],"[' ', 'Preço:', 'R$330', '/noite']",['4.67']
['Apto em  Jurere Internacional com suite'],"[' ', 'Preço:', 'R$301', '/noite']",['4.80']
['Super Apartamento Familiar de Praia - 02 Q - 8 pes'],"[' ', 'Preço:', 'R$318', '/noite']",['4.80']
['Apartamento aconchegante em Jurerê Internacional!'],"[' ', 'Preço:', 'R$351', '/noite']",[]
['Apto 2 qtos no Open Shopping Jurerê Internacional'],"[' ', 'Preço:', 'R$252', '/noite']",['4.81']
['Aluguel de temporada - apartamento 02'],"[' ', 'Preço:', 'R$351', '/noite']",[]
['Linda cobertura em Jurerê - 3 quartos - Piscina'],"[' ', 'Preço:', 'R$800', '/noite']",['4.94']
['melhor custo beneficio Jurere'],"[' ', 'Preço:', 'R$478', '/noite']",[]
['Belo apt em Jurerê c/ 3 qrtos e piscina'],"[' ', 'Preço:', 'R$351', '/noite']",['4.86']
['apto fantástico  3 dormitórios'],"[' ', 'Preço:', 'R$239', '/noite']",['4.27']
['Apto 2 Qts (1 Suíte) Jurerê c/ Ótima Área de Lazer'],"[' ', 'Preço:', 'R$722', '/noite']",['4.72']
['Cobertura com Jacuzzi e churrasqueira em Jurerê'],"[' ', 'Preço:', 'R$652', '/noite']",[]
['Cobertura em Jurerê Internacional'],"[' ', 'Preço:', 'R$549', '/noite']",['4.95']
['Jurerê internacional 2 dorm'],"[' ', 'Preço:', 'R$549', '/noite']",[]
['Apartamento agradável  no Jurerê Open Shopping'],"[' ', 'Preço:', 'R$169', '/noite']",['4.96']
['Para pessoas inteligentes e com bom gosto.'],"[' ', 'Preço:', 'R$1.250', '/noite']",['4.81']
['PORTO DE JURERE FLORIANÓPOLIS'],"[' ', 'Preço:', 'R$598', '/noite']",[]
['Casa na praia da Daniela'],"[' ', 'Preço:', 'R$751', '/noite']",[]
"['Apartamento, 2 quartos  Águas de Jurerê']","[' ', 'Preço:', 'R$450', '/noite']",[]
['Residencial Praia Da Daniela Apartamento 03'],"[' ', 'Preço:', 'R$260', '/noite']",[]
['2 dormitórios Spazio de Jurere'],"[' ', 'Preço:', 'R$301', '/noite']",[]
['4 dormitórios no Open Shopping Jurere Internacional'],"[' ', 'Preço:', 'R$276', '/noite']",[]
['Al Mare by Villa Daniella - Linda Casa Frente-Mar'],"[' ', 'Preço:', 'R$297', '/noite']",['4.80']
['LINDA CASA EM JURERÊ INTERNACIONAL com JACUZZI.'],"[' ', 'Preço:', 'R$751', '/noite']",['4.75']
"['Casa na Praia Daniela, 70 m do mar com 3 quartos!']","[' ', 'Preço:', 'R$301', '/noite']",[]
['Apartamento Aconchegante em Jurerê Internacional'],"[' ', 'Preço:', 'R$400', '/noite']",[]
['Lindo Apto 02 quartos Central - Próx ao Mar - Ap06'],"[' ', 'Preço:', 'R$322', '/noite']",['5.0']
['Villa Fascinante - Seaside'],"[' ', 'Preço:', 'R$1.237', '/noite']",['4.95']
['ALHAMBRA JURERE INTERNACIONAL'],"[' ', 'Preço:', 'R$437', '/noite']",[]
['Aluguel de Temporada - apartamento n. 1'],"[' ', 'Preço:', 'R$351', '/noite']",[]
"['Apartamento em Florianópolis, Brisas de Jurerê']","[' ', 'Preço:', 'R$478', '/noite']",[]
['Apartamento em Jurerê Internacional Open Shopping'],"[' ', 'Preço:', 'R$540', '/noite']",['4.71']
['Sinta-se em casa em Jurerê!'],"[' ', 'Preço:', 'R$520', '/noite']",['5.0']
['Apto praia Jurere 2 quartos 2 banheiros'],"[' ', 'Preço:', 'R$421', '/noite']",['4.75']
"['Casa moderna e aconchegante em jurere, 300m do mar']","[' ', 'Preço:', 'R$297', '/noite']",[]
"[""Vila d'Italia Jurere Internacional""]","[' ', 'Preço:', 'R$590', '/noite']",[]
['CASA DE PRAIA'],"[' ', 'Preço:', 'R$252', '/noite']",[]
['Cobertura no Jurerê Open Shopping'],"[' ', 'Preço:', 'R$322', '/noite']",['4.94']
['Sinta-se em casa! Apto em Jurerê Internacional'],"[' ', 'Preço:', 'R$400', '/noite']",[]
['Excelente apartamento Jurere Intern. prox praia'],"[' ', 'Preço:', 'R$351', '/noite']",[]
['Apto. Decorado e com Ar Split tds cômodos -Jurerê'],"[' ', 'Preço:', 'R$429', '/noite']",['4.90']
['Apartamento no Open Shopping'],"[' ', 'Preço:', 'R$252', '/noite']",['4.80']
['Cobertura duplex no coração de Jurerê Internac.'],"[' ', 'Preço:', 'R$598', '/noite']",[]
['Jurerê apartamento ao lado do mar'],"[' ', 'Preço:', 'R$499', '/noite']",['5.0']
['Apartamento em Jurerê Internacional'],"[' ', 'Preço:', 'R$330', '/noite']",['4.68']
['Casa à 240m do mar - Praia Daniela'],"[' ', 'Preço:', 'R$392', '/noite']",['5.0']
['CASA 3 DORMITÓRIOS JURERE INTERNACIONAL'],"[' ', 'Preço:', 'R$544', '/noite']",['4.83']
['Apto de 2 quartos em Jurerê com wi-fi'],"[' ', 'Preço:', 'R$351', '/noite']",[]
['Ampla cobertura em Jurerê Internacional'],"[' ', 'Preço:', 'R$598', '/noite']",['4.67']
['Aluguel de temporada - apartamento n. 4'],"[' ', 'Preço:', 'R$392', '/noite']",[]
['Linda Casa em Jurerê Internacional - 3 suítes'],"[' ', 'Preço:', 'R$899', '/noite']",['5.0']
['luxo e alto padrão em jurerê '],"[' ', 'Preço:', 'R$450', '/noite']",['4.96']
"['Para pessoas exigentes, imóvel novo']","[' ', 'Preço:', 'R$252', '/noite']",[]
